"name","birth_year","email","affiliations","bio"
"Markus Kuhn",1951,"markus_kuhn@mail.com","Politecnico di Torino"," Ut eget ex nec justo euismod mollis a in dolor"
"Mary Ellen Zurko",1983,"mary_ellen_zurko@mail.com","Technical University of Munich"," Duis feugiat orci neque, quis rhoncus purus efficitur sed"
"Richard T. Simon",1964,"richard_t._simon@mail.com","The University of Edinburgh"," Pellentesque congue diam at nibh laoreet, ac consectetur dolor scelerisque"
"Sabrina De Capitani di Vimercati",1971,"sabrina_de_capitani_di_vimercati@mail.com","Technical University of Munich"," Lorem ipsum dolor sit amet, consectetur adipiscing elit"
"Helena Handschuh",1993,"helena_handschuh@mail.com","The University of Edinburgh","  Interdum et malesuada fames ac ante ipsum primis in faucibus"
"Berk Sunar",1953,"berk_sunar@mail.com","Technical University of Munich","  Praesent a lorem dolor"
"Scott A. Crosby",1974,"scott_a._crosby@mail.com","Politecnico di Milano"," Duis ligula mi, suscipit non ornare id, convallis et purus"
"Dan S. Wallach",1994,"dan_s._wallach@mail.com","University of Illinois at Chicago"," Cras nisi massa, volutpat id fringilla in, tristique non elit"
"Christian Cachin",1999,"christian_cachin@mail.com","MIT"," Etiam tempus, tellus sodales vestibulum cursus, urna sem pharetra justo, sed varius nisl odio nec lectus"
"Mary J. Culnan",1955,"mary_j._culnan@mail.com","MIT","  Fusce pulvinar risus tempor lorem rhoncus suscipit"
"Vijay Alturi",1961,"vijay_alturi@mail.com","Technical University of Munich"," Mauris vestibulum augue ante, sed ultrices arcu vulputate ut"
"Antoon Bosselaers",1967,"antoon_bosselaers@mail.com","University of Illinois at Chicago"," Morbi congue, mauris quis pellentesque consequat, lacus nisi accumsan lectus, non fermentum felis erat at diam"
"Claude Carlet",1985,"claude_carlet@mail.com","Technical University of Munich"," In ligula elit, faucibus nec quam non, cursus fermentum ex"
"Scott Contini",1995,"scott_contini@mail.com","University of Illinois at Chicago"," Vivamus id nunc viverra, volutpat quam nec, finibus odio"
"Salvatore J. Stolfo",1950,"salvatore_j._stolfo@mail.com","Politecnico di Torino"," Phasellus hendrerit, purus sit amet viverra eleifend, turpis dolor sagittis sapien, eget cursus nibh elit at lacus"
"Brian M. Bowen",1964,"brian_m._bowen@mail.com","ETH Zurich"," Vivamus rutrum nec neque id luctus"
"Malek Ben Salem 0001",1956,"malek_ben_salem_0001@mail.com","ETH Zurich"," Vestibulum nec ultricies dolor"
"Jonas Richiardi",1959,"jonas_richiardi@mail.com","The University of Edinburgh"," Aliquam fringilla placerat iaculis"
"Krzysztof Kryszczuk",1963,"krzysztof_kryszczuk@mail.com","ETH Zurich"," Sed nec venenatis nunc"
"Marc Joye",1952,"marc_joye@mail.com","Politecnico di Torino"," Phasellus efficitur, metus id elementum fringilla, neque tellus commodo risus, tristique cursus odio turpis sit amet ante"
"Francis Olivier",1953,"francis_olivier@mail.com","University of Illinois at Chicago","  Fusce pretium congue risus, semper tempus mauris tristique at"
"J. Black",1955,"j._black@mail.com","Politecnico di Milano"," Quisque id mi maximus, facilisis erat eget, dictum nisl"
"Mitchell A. Thornton",1961,"mitchell_a._thornton@mail.com","Politecnico di Milano"," Nam non urna felis"
"Torben P. Pedersen",1960,"torben_p._pedersen@mail.com","ETH Zurich"," Phasellus sit amet lacinia purus, tincidunt cursus lacus"
"Nary Subramanian",1950,"nary_subramanian@mail.com","MIT"," Aenean lacinia nisl velit, non porttitor lorem suscipit nec"
"Marco Bucci",1968,"marco_bucci@mail.com","Politecnico di Torino"," Nullam eleifend felis id diam pharetra mattis"
"Anton Stiglic",1989,"anton_stiglic@mail.com","Politecnico di Milano"," Integer laoreet vestibulum vulputate"
"Phong Q. Nguyen",1996,"phong_q._nguyen@mail.com","ETH Zurich"," Interdum et malesuada fames ac ante ipsum primis in faucibus"
"Christophe Petit",1979,"christophe_petit@mail.com","ETH Zurich"," Praesent ut tempor elit, a ultrices lacus"
"Jean-Jacques Quisquater",1984,"jean-jacques_quisquater@mail.com","The University of Edinburgh"," Curabitur pretium eget velit id ornare"
"Robert J. Zuccherato",1957,"robert_j._zuccherato@mail.com","The University of Edinburgh"," Quisque malesuada mattis libero"
"Salil P. Vadhan",1966,"salil_p._vadhan@mail.com","Politecnico di Milano"," Duis quis feugiat nisl, convallis finibus neque"
"Marc Vauclair",1974,"marc_vauclair@mail.com","Politecnico di Torino"," Sed tincidunt in ex quis pulvinar"
"Darrel Hankerson",1957,"darrel_hankerson@mail.com","ETH Zurich"," Donec ullamcorper ipsum nec neque aliquet, at sollicitudin arcu maximus"
"Alfred Menezes",1977,"alfred_menezes@mail.com","University of Illinois at Chicago"," Nullam mauris quam, cursus vel diam nec, sollicitudin sollicitudin massa"
"Tom Caddy",2000,"tom_caddy@mail.com","The University of Edinburgh"," Donec dapibus enim lectus, lacinia vulputate nisl varius eget"
"Radu Sion",1970,"radu_sion@mail.com","Politecnico di Torino"," Etiam a ex sed lectus aliquet mollis ac a sapien"
"Yevgeniy Dodis",1960,"yevgeniy_dodis@mail.com","The University of Edinburgh"," Etiam scelerisque nibh quis ipsum auctor tincidunt"
"XiaoFeng Wang 0001",1964,"xiaofeng_wang_0001@mail.com","University of Illinois at Chicago"," Donec at placerat metus"
"Ernst M. Gabidulin",1971,"ernst_m._gabidulin@mail.com","ETH Zurich"," Maecenas dolor velit, pharetra nec posuere mattis, gravida sed lorem"
"Emmanuel Thomé",1967,"emmanuel_thomé@mail.com","Politecnico di Milano"," Phasellus ipsum magna, bibendum non sapien sed, viverra vestibulum enim"
"Torben Pedersen",1989,"torben_pedersen@mail.com","Politecnico di Torino"," Pellentesque euismod tellus at odio tristique porttitor"
"Trent Jaeger",1990,"trent_jaeger@mail.com","ETH Zurich"," Nam orci purus, consequat sit amet porttitor quis, laoreet in mauris"
"François Morain",1967,"françois_morain@mail.com","MIT"," Donec sit amet diam neque"
"G. R. Blakley",1950,"g._r._blakley@mail.com","The University of Edinburgh"," Nullam vestibulum nisl in erat lobortis tincidunt vel eu ligula"
"Gregory A. Kabatiansky",1967,"gregory_a._kabatiansky@mail.com","University of Illinois at Chicago"," In quis fringilla justo"
"Matthew K. Franklin",1989,"matthew_k._franklin@mail.com","Politecnico di Torino"," Integer a velit elit"
"Tor Helleseth",1963,"tor_helleseth@mail.com","University of Illinois at Chicago"," Nulla dapibus justo et elit imperdiet tincidunt"
"Ruggero Donida Labati",1951,"ruggero_donida_labati@mail.com","Politecnico di Milano"," Aliquam fringilla placerat iaculis"
"Fabio Scotti",1951,"fabio_scotti@mail.com","The University of Edinburgh"," Ut commodo, lectus at blandit iaculis, nisi nisl vestibulum neque, ut cursus neque ligula quis ipsum"
"Robert Silverman",1994,"robert_silverman@mail.com","Politecnico di Torino"," Sed rutrum tellus at elit volutpat, a eleifend nisi pharetra"
"Dalit Naor",1993,"dalit_naor@mail.com","The University of Edinburgh"," Maecenas dignissim, urna nec ullamcorper suscipit, erat elit pretium lectus, at tristique eros orci mattis orci"
"Tae Hwan Oh",1953,"tae_hwan_oh@mail.com","ETH Zurich"," Phasellus sit amet lacinia purus, tincidunt cursus lacus"
"Shinyoung Lim",1955,"shinyoung_lim@mail.com","Politecnico di Torino"," Maecenas mattis aliquet ultricies"
"Young B. Choi",1958,"young_b._choi@mail.com","MIT"," Sed a sagittis augue, nec scelerisque velit"
"Jungwoo Ryoo",1991,"jungwoo_ryoo@mail.com","University of Illinois at Chicago"," Fusce aliquet mauris eros, ut aliquet diam luctus a"
"Tim Güneysu",1971,"tim_güneysu@mail.com","ETH Zurich"," Maecenas lacinia, arcu sit amet mattis sodales, neque libero venenatis justo, non venenatis lorem magna quis lorem"
"Svetlana N. Yanushkevich",1959,"svetlana_n._yanushkevich@mail.com","MIT"," Etiam nec massa ut ante hendrerit sodales vitae et augue"
"Denis V. Popel",1989,"denis_v._popel@mail.com","ETH Zurich"," Donec blandit risus eget mauris malesuada consectetur"
"Saeed Abu-Nimeh",1953,"saeed_abu-nimeh@mail.com","University of Illinois at Chicago"," Interdum et malesuada fames ac ante ipsum primis in faucibus"
"Assia Tria",1959,"assia_tria@mail.com","MIT","  Maecenas viverra convallis aliquet"
"Hamid Choukri",1993,"hamid_choukri@mail.com","ETH Zurich"," Phasellus vitae commodo felis, eget interdum ex"
"David Samyde",1977,"david_samyde@mail.com","Politecnico di Milano"," Sed tincidunt in ex quis pulvinar"
"Brent ByungHoon Kang",2000,"brent_byunghoon_kang@mail.com","ETH Zurich"," Maecenas nibh est, accumsan a vehicula sit amet, consequat non orci"
"Greg Sinclair",1969,"greg_sinclair@mail.com","Politecnico di Torino"," Donec aliquet sapien neque, sit amet rutrum erat tempus vitae"
"Anurag Srivastava",1976,"anurag_srivastava@mail.com","MIT"," Aliquam erat volutpat"
"Paulo S. L. M. Barreto",1982,"paulo_s._l._m._barreto@mail.com","Politecnico di Torino"," Suspendisse sit amet arcu mi"
"Vincent Rijmen",1986,"vincent_rijmen@mail.com","University of Illinois at Chicago"," Morbi tempor facilisis nunc vel feugiat"
"Moses D. Liskov",1984,"moses_d._liskov@mail.com","ETH Zurich"," Vivamus vitae purus nisl"
"Nicholas C. Weaver",1995,"nicholas_c._weaver@mail.com","ETH Zurich"," Nunc feugiat luctus est id sagittis"
"Wensheng Zhang 0001",1990,"wensheng_zhang_0001@mail.com","ETH Zurich"," Cras non felis accumsan, molestie elit sagittis, tempor sem"
"Henk C. A. van Tilborg",1983,"henk_c._a._van_tilborg@mail.com","Technical University of Munich"," Integer quam massa, suscipit vitae blandit id, mollis in ipsum"
"Kar-Ann Toh",1993,"kar-ann_toh@mail.com","University of Illinois at Chicago"," Quisque non sem nisl"
"Andrew Beng Jin Teoh",1989,"andrew_beng_jin_teoh@mail.com","Politecnico di Torino"," Cras tempor felis neque, a ultrices justo dignissim eget"
"Robert Blakley 0001",2000,"robert_blakley_0001@mail.com","Politecnico di Torino"," Ut mauris augue, faucibus id porta eu, aliquam ac justo"
"Jean-Louis Lanet",1998,"jean-louis_lanet@mail.com","ETH Zurich"," Sed eget lacus molestie, fringilla nulla eget, hendrerit ante"
"V. N. Venkatakrishnan",1994,"v._n._venkatakrishnan@mail.com","Technical University of Munich"," Aenean vel rutrum sem"
"Claudio Bettini",1988,"claudio_bettini@mail.com","University of Illinois at Chicago"," Vestibulum porta turpis purus, porttitor molestie sem auctor sed"
"Ehab Al-Shaer",1972,"ehab_al-shaer@mail.com","Politecnico di Milano"," Nam quis enim tristique, imperdiet velit sit amet, ultrices mauris"
"Anil K. Jain 0001",1995,"anil_k._jain_0001@mail.com","Politecnico di Torino"," Phasellus faucibus, magna quis pellentesque auctor, nunc ex tincidunt turpis, vel cursus lectus dolor sed lacus"
"Angelos Stavrou",1950,"angelos_stavrou@mail.com","Politecnico di Milano"," Vestibulum lacus ipsum, pellentesque sed dignissim sed, aliquet eu dolor"
"Graham Steel",1950,"graham_steel@mail.com","Technical University of Munich"," Vivamus rutrum nec neque id luctus"
"Ebru Celikel Cankaya",1956,"ebru_celikel_cankaya@mail.com","Politecnico di Milano"," Curabitur tincidunt orci faucibus, dignissim tellus ac, ornare arcu"
"Nicky Mouha",1996,"nicky_mouha@mail.com","Technical University of Munich"," Proin mattis maximus tortor in laoreet"
"Jorge Guajardo",2000,"jorge_guajardo@mail.com","Politecnico di Milano"," Maecenas nec convallis ex, dictum molestie elit"
"Lorrie Faith Cranor",1998,"lorrie_faith_cranor@mail.com","Technical University of Munich"," Mauris suscipit, eros et vulputate suscipit, velit mi hendrerit erat, et ornare ex orci nec nisl"
"Miles E. Smid",1993,"miles_e._smid@mail.com","ETH Zurich"," Nulla malesuada vehicula nibh eu bibendum"
"Marco Gruteser",1977,"marco_gruteser@mail.com","Technical University of Munich"," Proin in tristique ex"
"Roberto Avanzi",1993,"roberto_avanzi@mail.com","ETH Zurich","  Praesent eleifend turpis id sapien gravida maximus"
"Nicolas Thériault",1958,"nicolas_thériault@mail.com","Politecnico di Torino"," Duis vel luctus eros"
"Steve Lloyd",1975,"steve_lloyd@mail.com","Politecnico di Milano"," Curabitur condimentum maximus mollis"
"Xiaokui Xiao",1959,"xiaokui_xiao@mail.com","ETH Zurich"," Cras consequat, lorem ac tincidunt volutpat, massa velit lacinia risus, in placerat est risus id enim"
"Patrick D. McDaniel",1950,"patrick_d._mcdaniel@mail.com","Politecnico di Torino"," Phasellus maximus erat quis velit elementum cursus"
"Collin Jackson",1962,"collin_jackson@mail.com","University of Illinois at Chicago"," Donec tempus non magna eu ullamcorper"
"Kun Sun 0001",1984,"kun_sun_0001@mail.com","MIT"," Nullam commodo, magna nec cursus maximus, ex odio rhoncus augue, sed imperdiet nisi nunc non sapien"
"Peng Ning",1962,"peng_ning@mail.com","University of Illinois at Chicago"," Maecenas in tortor dui"
"Claudio A. Ardagna",1996,"claudio_a._ardagna@mail.com","The University of Edinburgh"," Etiam pretium turpis nisi, sed fringilla lorem pharetra sit amet"
"Kaoru Kurosawa",1953,"kaoru_kurosawa@mail.com","University of Illinois at Chicago"," Duis nec ipsum nunc"
"Martin Gagné",1955,"martin_gagné@mail.com","Politecnico di Milano","  Donec placerat elit velit, id lobortis dolor ornare et"
"Fabien A. P. Petitcolas",1987,"fabien_a._p._petitcolas@mail.com","University of Illinois at Chicago"," Pellentesque pulvinar ex sed condimentum dictum"
"Qiushi Yang",1996,"qiushi_yang@mail.com","MIT"," Sed sit amet urna nisl"
"Dario V. Forte",1989,"dario_v._forte@mail.com","ETH Zurich"," Fusce arcu augue, tincidunt id justo vitae, sollicitudin viverra libero"
"Dwight Horne",1957,"dwight_horne@mail.com","Politecnico di Milano"," Praesent non maximus tellus, eu auctor sem"
"Mike Just",1983,"mike_just@mail.com","Technical University of Munich"," Mauris blandit ac neque ut gravida"
"Ben J. M. Smeets",1952,"ben_j._m._smeets@mail.com","Politecnico di Torino"," In hac habitasse platea dictumst"
"Jerome A. Solinas",1952,"jerome_a._solinas@mail.com","Politecnico di Torino"," Vestibulum fringilla arcu nisi, eu finibus diam posuere a"
"Paul England",1952,"paul_england@mail.com","MIT"," Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Pellentesque porta rutrum justo rhoncus aliquet"
"François Koeune",1962,"françois_koeune@mail.com","University of Illinois at Chicago"," Curabitur eget est et odio scelerisque euismod"
"Donggang Liu",1983,"donggang_liu@mail.com","Politecnico di Torino"," Morbi lacinia est justo, non placerat turpis pharetra vel"
"Hakan Hacigümüs",1971,"hakan_hacigümüs@mail.com","University of Illinois at Chicago"," Phasellus ultrices, lectus eu aliquam condimentum, neque ante dictum urna, in mattis libero orci ac ipsum"
"Bijit Hore",1994,"bijit_hore@mail.com","Politecnico di Milano"," Proin fermentum tortor malesuada metus sodales tincidunt"
"Sharad Mehrotra",1958,"sharad_mehrotra@mail.com","Technical University of Munich"," Proin tincidunt non purus nec dapibus"
"Claude Crépeau",1980,"claude_crépeau@mail.com","Politecnico di Torino"," Maecenas viverra, libero eu malesuada venenatis, mauris sem tempus nisl, a aliquet metus nisl ac orci"
"Yi Yang 0002",1954,"yi_yang_0002@mail.com","The University of Edinburgh"," Nulla id dictum lacus"
"Sencun Zhu",1960,"sencun_zhu@mail.com","MIT"," Aenean vel ligula nec nibh vestibulum porttitor"
"David F. Ferraiolo",1998,"david_f._ferraiolo@mail.com","Politecnico di Torino"," Ut aliquet rutrum nisi, id ultricies tortor molestie a"
"Michalis Polychronakis",1954,"michalis_polychronakis@mail.com","The University of Edinburgh"," Sed efficitur elit erat, in varius turpis bibendum non"
"Pascale Charpin",1974,"pascale_charpin@mail.com","The University of Edinburgh"," Quisque tincidunt velit a metus faucibus, sed pulvinar arcu dignissim"
"Niels Provos",1965,"niels_provos@mail.com","MIT"," Praesent bibendum neque sed tellus dapibus semper"
"Josep Domingo-Ferrer",1984,"josep_domingo-ferrer@mail.com","Politecnico di Milano"," Nunc semper suscipit luctus"
"Soma Biswas",1972,"soma_biswas@mail.com","University of Illinois at Chicago"," Morbi rutrum dui eget consectetur auctor"
"Rama Chellappa",1973,"rama_chellappa@mail.com","Technical University of Munich"," Praesent molestie venenatis metus non ullamcorper"
"Srdjan Capkun",1975,"srdjan_capkun@mail.com","Politecnico di Milano"," Phasellus vel elementum felis"
"Joe Pato",1982,"joe_pato@mail.com","University of Illinois at Chicago"," Sed a tellus arcu"
"Laurent Sustek",2000,"laurent_sustek@mail.com","Politecnico di Torino"," Mauris vel facilisis lorem, vitae tincidunt nunc"
"B. V. K. Vijaya Kumar",1999,"b._v._k._vijaya_kumar@mail.com","MIT"," Cras rhoncus, ipsum vel congue vulputate, mi risus ornare nisi, vel efficitur risus turpis in ante"
"Sara Foresti",1993,"sara_foresti@mail.com","Technical University of Munich"," Suspendisse pharetra, orci eu feugiat consequat, magna diam finibus velit, a eleifend quam libero vel purus"
"Guido Salvaneschi",1996,"guido_salvaneschi@mail.com","Politecnico di Torino"," Morbi facilisis molestie pellentesque"
"Paolo Salvaneschi",1992,"paolo_salvaneschi@mail.com","The University of Edinburgh"," Maecenas ut convallis odio"
"Alexander Kruppa",1967,"alexander_kruppa@mail.com","Technical University of Munich"," Morbi congue tellus rutrum venenatis accumsan"
"Paul Leyland",1992,"paul_leyland@mail.com","University of Illinois at Chicago"," Duis non ligula sed leo pretium finibus nec in neque"
"Michael Ward",1998,"michael_ward@mail.com","Politecnico di Torino"," Suspendisse non finibus mi"
"Olivier Benoît",2000,"olivier_benoît@mail.com","Politecnico di Milano"," Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Etiam eget nisl tempus, dictum quam in, convallis elit"
"Jeffrey J. Wiley",1972,"jeffrey_j._wiley@mail.com","University of Illinois at Chicago"," Aliquam gravida lorem non lobortis pharetra"
"Gerardo Pelosi",1961,"gerardo_pelosi@mail.com","Politecnico di Torino"," Aenean placerat porta nisi et sodales"
"Christiane Peters",1990,"christiane_peters@mail.com","MIT"," Nulla bibendum tortor vel velit ullamcorper elementum"
"Glenn Durfee",1983,"glenn_durfee@mail.com","The University of Edinburgh","  Quisque ultricies suscipit nunc, ac sagittis ipsum tempus sit amet"
"Mohamed Omar Rayes",1980,"mohamed_omar_rayes@mail.com","MIT"," Suspendisse finibus id lorem sit amet dapibus"
"Christof Paar",1969,"christof_paar@mail.com","ETH Zurich"," Sed sit amet suscipit lacus"
"Guofei Gu",1972,"guofei_gu@mail.com","MIT"," Integer ornare bibendum libero sit amet viverra"
"Michael E. Locasto",1993,"michael_e._locasto@mail.com","The University of Edinburgh"," Donec sodales feugiat nibh, in efficitur purus ultricies at"
"Ann Cavoukian",1974,"ann_cavoukian@mail.com","University of Illinois at Chicago"," Etiam purus velit, auctor molestie lorem vitae, efficitur luctus ex"
"Alex Stoianov",1983,"alex_stoianov@mail.com","MIT"," Duis at volutpat nibh"
"Mike Burmester",1996,"mike_burmester@mail.com","Technical University of Munich"," Nullam malesuada ullamcorper purus eget consectetur"
"François-Xavier Standaert",1983,"françois-xavier_standaert@mail.com","The University of Edinburgh"," Pellentesque in bibendum diam, mattis feugiat quam"
"Jing Dong 0006",1991,"jing_dong_0006@mail.com","The University of Edinburgh"," Morbi sodales malesuada est"
"Mehdi Tibouchi",1967,"mehdi_tibouchi@mail.com","MIT"," Donec at interdum lectus"
"André Weimerskirch",1963,"andré_weimerskirch@mail.com","Politecnico di Torino"," Etiam porttitor urna interdum diam posuere, ut facilisis elit lobortis"
"William Enck",1973,"william_enck@mail.com","Technical University of Munich"," Donec vehicula velit varius nibh hendrerit gravida"
"Scott E. Coull",1955,"scott_e._coull@mail.com","MIT","  Vestibulum non ultrices neque"
"Achint Thomas",1968,"achint_thomas@mail.com","MIT"," Quisque dapibus malesuada tincidunt"
"Venu Govindaraju",1989,"venu_govindaraju@mail.com","Politecnico di Milano"," Etiam ac congue tellus"
"Mihai Christodorescu",1973,"mihai_christodorescu@mail.com","MIT"," Aenean non magna ut risus vestibulum tincidunt sed suscipit diam"
"Vinod Ganapathy",1997,"vinod_ganapathy@mail.com","ETH Zurich"," Sed non eleifend leo"
"Michael J. Wiener",1971,"michael_j._wiener@mail.com","Politecnico di Milano"," Ut pellentesque sagittis magna quis cursus"
"Daniel J. Bernstein",1960,"daniel_j._bernstein@mail.com","University of Illinois at Chicago"," Nulla in lorem arcu"
"Gilles Brassard",2000,"gilles_brassard@mail.com","ETH Zurich"," Aenean porttitor leo id velit dignissim, at gravida leo porta"
"Pavan Verma",1997,"pavan_verma@mail.com","ETH Zurich"," Curabitur semper at arcu ac fermentum"
"Matthew J. B. Robshaw",1993,"matthew_j._b._robshaw@mail.com","Politecnico di Milano"," Praesent posuere lectus quis ipsum imperdiet gravida"
"Thomas Morris",1999,"thomas_morris@mail.com","ETH Zurich"," Nam non urna felis"
"Patrizio Campisi",1960,"patrizio_campisi@mail.com","MIT"," Curabitur semper at arcu ac fermentum"
"Emanuele Maiorana",1965,"emanuele_maiorana@mail.com","Politecnico di Milano"," Praesent nibh enim, pulvinar id eros pretium, consequat efficitur orci"
"Alessandro Neri 0001",1973,"alessandro_neri_0001@mail.com","Politecnico di Torino"," Maecenas iaculis mi pellentesque finibus pretium"
"Debbie Cook",2000,"debbie_cook@mail.com","Technical University of Munich"," Morbi nec aliquam odio"
"Edlyn Teske",1952,"edlyn_teske@mail.com","MIT"," Vestibulum vel ante dapibus, interdum dolor quis, tempor ligula"
"David Pointcheval",1963,"david_pointcheval@mail.com","ETH Zurich"," Mauris blandit ac neque ut gravida"
"Jörg Schwenk",1959,"jörg_schwenk@mail.com","Technical University of Munich"," Cras pretium dolor ac aliquam sollicitudin"
"William D. Casper",1994,"william_d._casper@mail.com","ETH Zurich"," Cras ut ligula faucibus, varius nulla vitae, porttitor risus"
"Stephen M. Papa",1964,"stephen_m._papa@mail.com","MIT","  Maecenas gravida sapien eu mauris volutpat rhoncus"
"Arkadiusz Orlowski",1992,"arkadiusz_orlowski@mail.com","University of Illinois at Chicago"," Aenean mattis erat mauris, quis consequat mi tristique id"
"Sangwon Hyun",1969,"sangwon_hyun@mail.com","Politecnico di Milano"," Etiam eget ipsum non massa fringilla dignissim"
"Martin Johns",1964,"martin_johns@mail.com","ETH Zurich"," Mauris diam mauris, bibendum vel ante et, dapibus finibus nibh"
"Wenyuan Xu",1971,"wenyuan_xu@mail.com","University of Illinois at Chicago"," Nulla volutpat ante enim, a ultricies lacus mollis a"
"Alexander Barg",1954,"alexander_barg@mail.com","Technical University of Munich"," Aliquam et erat justo"
"Daniel Gordon",1983,"daniel_gordon@mail.com","Technical University of Munich"," Nulla at viverra nulla"
"Arjen K. Lenstra",1986,"arjen_k._lenstra@mail.com","MIT"," Vestibulum viverra orci ex, vel aliquam risus ullamcorper lacinia"
"Jonathan K. Millen",1956,"jonathan_k._millen@mail.com","University of Illinois at Chicago"," Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos"
"Sebastiaan Indesteege",1973,"sebastiaan_indesteege@mail.com","ETH Zurich","  In at risus ac velit congue fermentum et at lorem"
"Günther Pernul",1972,"günther_pernul@mail.com","ETH Zurich"," Ut in gravida nulla, sit amet volutpat ex"
"Moritz Riesner",1972,"moritz_riesner@mail.com","The University of Edinburgh"," Fusce ut mi ante"
"Paul Zimmermann",2000,"paul_zimmermann@mail.com","Politecnico di Milano"," Proin congue turpis in magna sagittis porttitor"
"Ernesto Damiani",1968,"ernesto_damiani@mail.com","MIT"," Aliquam erat volutpat"
"Andrew Clark",1959,"andrew_clark@mail.com","University of Illinois at Chicago"," Mauris pulvinar semper velit sit amet egestas"
"Keith B. Frikken",1998,"keith_b._frikken@mail.com","The University of Edinburgh","  Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae; Mauris eget magna sed orci accumsan eleifend"
"Michael T. Hunter",1986,"michael_t._hunter@mail.com","Politecnico di Milano"," Integer ullamcorper, neque quis lacinia pharetra, orci quam pharetra ante, et sodales libero est non risus"
"Çetin Kaya Koç",1954,"çetin_kaya_koç@mail.com","ETH Zurich"," Nam tellus dui, tempus eu cursus sit amet, mattis ut justo"
"David Zhang 0001",1996,"david_zhang_0001@mail.com","MIT"," Pellentesque pulvinar ex sed condimentum dictum"
"Feng Yue",1998,"feng_yue@mail.com","Technical University of Munich","  Sed suscipit urna eu est sollicitudin placerat"
"Wangmeng Zuo",1953,"wangmeng_zuo@mail.com","Technical University of Munich"," Vivamus a quam at lectus varius ultricies"
"Frédérique Biennier",1985,"frédérique_biennier@mail.com","Technical University of Munich"," Duis ullamcorper nisl quis hendrerit sagittis"
"Scott A. Rotondo",1983,"scott_a._rotondo@mail.com","Politecnico di Milano","  Integer maximus velit id interdum accumsan"
"Kristen LeFevre",1963,"kristen_lefevre@mail.com","University of Illinois at Chicago"," Duis molestie nulla a mi vehicula, malesuada tempus est laoreet"
"Bee-Chung Chen",1973,"bee-chung_chen@mail.com","The University of Edinburgh"," In efficitur purus in ultrices tristique"
"Sharon Boeyen",1951,"sharon_boeyen@mail.com","MIT"," Fusce interdum mi ut tortor ultricies consectetur"
"Daniele Micciancio",1968,"daniele_micciancio@mail.com","MIT"," Phasellus ipsum magna, bibendum non sapien sed, viverra vestibulum enim"
"Elisa Gorla",1965,"elisa_gorla@mail.com","MIT"," Nulla facilisi"
"Serge Fenet",1996,"serge_fenet@mail.com","ETH Zurich"," Cras sollicitudin, ante id faucibus molestie, ligula ipsum facilisis erat, non pulvinar risus nisi sed nibh"
"Giovanni Livraga",1953,"giovanni_livraga@mail.com","Technical University of Munich"," Fusce vel tempor libero"
"Lee D. McFearin",1961,"lee_d._mcfearin@mail.com","University of Illinois at Chicago"," Donec posuere, velit sed accumsan tempor, orci felis luctus eros, eu convallis elit augue quis nunc"
"Daniel M. Gordon",1966,"daniel_m._gordon@mail.com","Technical University of Munich"," Donec non risus ac lectus iaculis semper nec maximus risus"
"Qijun Gu",1983,"qijun_gu@mail.com","Technical University of Munich"," Suspendisse non ligula a orci tempor finibus ut id lorem"
"Louis Goubin",1989,"louis_goubin@mail.com","Technical University of Munich"," Morbi nec odio dignissim, finibus sem in, finibus orci"
"Jacques Patarin",1987,"jacques_patarin@mail.com","University of Illinois at Chicago"," Vivamus venenatis pretium felis, vitae viverra ex viverra quis"
"Bo-Yin Yang",1965,"bo-yin_yang@mail.com","Technical University of Munich"," "
"Stefano Paraboschi",1985,"stefano_paraboschi@mail.com","ETH Zurich"," Cras odio felis, fermentum in ornare eget, blandit et tortor"
"Angelos D. Keromytis",1972,"angelos_d._keromytis@mail.com","Technical University of Munich"," Nam in elit vulputate, rhoncus arcu ac, tempus eros"
"Ronald L. Rivest",1966,"ronald_l._rivest@mail.com","ETH Zurich"," Vestibulum vel ante dapibus, interdum dolor quis, tempor ligula"
"Nadia Heninger",1968,"nadia_heninger@mail.com","MIT"," Donec congue mauris quis euismod laoreet"
"Cynthia Dwork",1958,"cynthia_dwork@mail.com","ETH Zurich"," Suspendisse risus nisl, sagittis ut orci id, dictum rutrum erat"
"Italo Dacosta",1961,"italo_dacosta@mail.com","Politecnico di Milano"," Vestibulum vel felis ipsum"
"Colin D. Walter",2000,"colin_d._walter@mail.com","Technical University of Munich"," Duis auctor, sem nec gravida dictum, felis eros cursus arcu, in congue tellus tortor eu ipsum"
"William Stallings",1959,"william_stallings@mail.com","ETH Zurich"," Aenean tortor tellus, sodales vitae ultricies id, hendrerit id nibh"
"Elisabeth de Leeuw",1950,"elisabeth_de_leeuw@mail.com","ETH Zurich"," Pellentesque at purus sagittis, sodales enim nec, luctus ipsum"
"Matthieu Finiasz",1997,"matthieu_finiasz@mail.com","University of Illinois at Chicago"," Phasellus at hendrerit ligula, sit amet consectetur ex"
